Sample Year,Field number/letter,Plot number,Depth,NTrt,NAdd,NitrAdd,NAtm+NAdd,Fenced,Orignal Fence Trt,Burned,Original Burn Trt,Original Trt,Root biomass (g/m2)
year,field,plot,depth,ntrt,nadd,fertadd,natm.nadd,fence,fence.origin,burn,burn.origin,trt.origin,mass.root
1989,D,44,0-30,9,0,0,1,1,1,1,1,1,1032.6207
1990,A,1,0-30,9,0,0,1,1,1,0,1,1,433.2842
1990,A,5,0-30,9,0,0,1,1,1,0,1,1,397.5304
1990,A,20,0-30,9,0,0,1,1,1,0,1,1,208.2565
1990,A,33,0-30,9,0,0,1,1,1,0,1,1,386.8411
1990,A,46,0-30,9,0,0,1,1,1,0,1,1,779.5798
1990,A,47,0-30,9,0,0,1,1,1,0,1,1,969.2223
1990,B,6,0-30,9,0,0,1,1,1,0,1,1,755.8054
1990,B,12,0-30,9,0,0,1,1,1,0,1,1,409.1412
1990,B,21,0-30,9,0,0,1,1,1,0,1,1,430.704
1990,B,35,0-30,9,0,0,1,1,1,0,1,1,444.5264
1990,B,37,0-30,9,0,0,1,1,1,0,1,1,402.6907
1990,B,52,0-30,9,0,0,1,1,1,0,1,1,732.031
1990,C,18,0-30,9,0,0,1,1,1,0,1,1,417.8032
1990,C,28,0-30,9,0,0,1,1,1,0,1,1,1201.2532
1990,C,30,0-30,9,0,0,1,1,1,0,1,1,536.491
1990,C,33,0-30,9,0,0,1,1,1,0,1,1,444.3421
1990,C,53,0-30,9,0,0,1,1,1,0,1,1,560.4497
1990,C,54,0-30,9,0,0,1,1,1,0,1,1,240.1401
1990,D,2,0-30,9,0,0,1,1,1,1,1,1,475.6727
1990,D,25,0-30,9,0,0,1,1,1,1,1,1,856.0634
1990,D,33,0-30,9,0,0,1,1,1,1,1,1,310.5418
1990,D,34,0-30,9,0,0,1,1,1,1,1,1,944.7107
1990,D,44,0-30,9,0,0,1,1,1,1,1,1,720.4202
1991,A,1,0-30,9,0,0,1,1,1,0,1,1,333.5791
1991,A,5,0-30,9,0,0,1,1,1,0,1,1,700.3317
1991,A,20,0-30,9,0,0,1,1,1,0,1,1,254.331
1991,A,33,0-30,9,0,0,1,1,1,0,1,1,492.0752
1991,A,46,0-30,9,0,0,1,1,1,0,1,1,322.5212
1991,A,47,0-30,9,0,0,1,1,1,0,1,1,903.0593
1991,B,6,0-30,9,0,0,1,1,1,0,1,1,759.307
1991,B,12,0-30,9,0,0,1,1,1,0,1,1,775.8938
1991,B,21,0-30,9,0,0,1,1,1,0,1,1,455.2156
1991,B,35,0-30,9,0,0,1,1,1,0,1,1,521.5628
1991,B,37,0-30,9,0,0,1,1,1,0,1,1,563.9513
1991,B,52,0-30,9,0,0,1,1,1,0,1,1,696.6458
1991,C,18,0-30,9,0,0,1,1,1,0,1,1,453.3727
1991,C,28,0-30,9,0,0,1,1,1,0,1,1,1052.3406
1991,C,30,0-30,9,0,0,1,1,1,0,1,1,482.8603
1991,C,33,0-30,9,0,0,1,1,1,0,1,1,672.6871
1991,C,53,0-30,9,0,0,1,1,1,0,1,1,440.4718
1991,C,54,0-30,9,0,0,1,1,1,0,1,1,444.1578
1991,D,2,0-30,9,0,0,1,1,1,1,1,1,471.8024
1991,D,25,0-30,9,0,0,1,1,1,1,1,1,670.8441
1991,D,33,0-30,9,0,0,1,1,1,1,1,1,593.439
1991,D,34,0-30,9,0,0,1,1,1,1,1,1,633.9845
1991,D,44,0-30,9,0,0,1,1,1,1,1,1,766.679
1992,A,1,0-30,9,0,0,1,1,1,0,1,1,574.7262
1992,A,5,0-30,9,0,0,1,1,1,0,1,1,637.3566
1992,A,20,0-30,9,0,0,1,1,1,0,1,1,370.2563
1992,A,33,0-30,9,0,0,1,1,1,0,1,1,488.1488
1992,A,46,0-30,9,0,0,1,1,1,0,1,1,567.3579
1992,A,47,0-30,9,0,0,1,1,1,0,1,1,366.5721
1992,B,6,0-30,9,0,0,1,1,1,0,1,1,1166.031
1992,B,12,0-30,9,0,0,1,1,1,0,1,1,948.6666
1992,B,21,0-30,9,0,0,1,1,1,0,1,1,851.0368
1992,B,35,0-30,9,0,0,1,1,1,0,1,1,1173.3993
1992,B,37,0-30,9,0,0,1,1,1,0,1,1,419.9922
1992,B,52,0-30,9,0,0,1,1,1,0,1,1,340.7831
1992,C,18,0-30,9,0,0,1,1,1,0,1,1,628.1462
1992,C,28,0-30,9,0,0,1,1,1,0,1,1,620.778
1992,C,30,0-30,9,0,0,1,1,1,0,1,1,698.1449
1992,C,33,0-30,9,0,0,1,1,1,0,1,1,622.62
1992,C,53,0-30,9,0,0,1,1,1,0,1,1,340.7831
1992,C,54,0-30,9,0,0,1,1,1,0,1,1,313.1521
1992,D,2,0-30,9,0,0,1,1,1,1,1,1,407.0977
1992,D,25,0-30,9,0,0,1,1,1,1,1,1,1103.4006
1992,D,33,0-30,9,0,0,1,1,1,1,1,1,589.4627
1992,D,34,0-30,9,0,0,1,1,1,1,1,1,659.4614
1992,D,44,0-30,9,0,0,1,1,1,1,1,1,699.987
1993,A,1,0-30,9,0,0,1,1,1,0,1,1,377.1
1993,A,2,0-30,2,1.02,3,2.02,1,1,0,1,1,628.5
1993,A,3,0-30,4,3.4,10,4.4,1,1,0,1,1,745.2
1993,A,4,0-30,2,1.02,3,2.02,1,1,0,1,1,495.6
1993,A,5,0-30,9,0,0,1,1,1,0,1,1,878.1
1993,A,6,0-30,8,27.2,80,28.2,1,1,0,1,1,948.1
1993,A,7,0-30,7,17,50,18,1,1,0,1,1,596.2
1993,A,8,0-30,4,3.4,10,4.4,1,1,0,1,1,551.3
1993,A,9,0-30,6,9.52,28,10.52,1,1,0,1,1,696.7
1993,A,10,0-30,3,2.04,6,3.04,1,1,0,1,1,533.3
1993,A,11,0-30,8,27.2,80,28.2,1,1,0,1,1,1025.2
1993,A,12,0-30,1,0,0,1,1,1,0,1,1,549.5
1993,A,13,0-30,5,5.44,16,6.44,1,1,0,1,1,975
1993,A,14,0-30,6,9.52,28,10.52,1,1,0,1,1,601.5
1993,A,15,0-30,3,2.04,6,3.04,1,1,0,1,1,562
1993,A,16,0-30,2,1.02,3,2.02,1,1,0,1,1,633.9
1993,A,17,0-30,8,27.2,80,28.2,1,1,0,1,1,544.1
1993,A,18,0-30,8,27.2,80,28.2,1,1,0,1,1,888.9
1993,A,19,0-30,5,5.44,16,6.44,1,1,0,1,1,682.4
1993,A,20,0-30,9,0,0,1,1,1,0,1,1,536.8
1993,A,21,0-30,6,9.52,28,10.52,1,1,0,1,1,592.5
1993,A,22,0-30,1,0,0,1,1,1,0,1,1,497.4
